original car shape,original box car shape,fish shape car,fish motion car,final version
4.22,20.27,2.43,2.57,1.57
4.32,6.29,3.73,2.76,3.43
3.94,19.86,3.93,2.36,1.58
4.07,4.19,3.02,2.5,1.79
3.73,30,3.2,2.57,1.98
4.33,30,2.83,3.67,2.17
3.61,30,2.69,3.22,2.04
5.18,30,2.5,2.23,1.78
4.2,30,2.24,2.63,1.97
3.16,30,2.83,3.35,2.04
3.67,30,2.82,2.5,1.85
3.27,30,2.69,2.69,1.9
3.34,30,2.64,3.28,2.18
2.95,30,3.02,3.16,1.98
3.95,,3.22,3.79,2.05
4.52,,3.47,2.97,2.17
,,2.69,3.42,2.04
,,3.22,4.26,1.91
,,3.04,3.03,2.63
,,2.51,4.71,2.17
,,2.57,4.2,1.92
,,2.32,4.27,2.16
,,2.51,3.4,2.92
,,2.71,2.83,2.82
,,2.56,2.77,2.7
,,2.89,,
,,3.35,,
